image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.787178,car,car,True
drive_022,2,5,0.866174,van,bus,False
drive_022,3,2,0.948206,bus,van,False
drive_022,4,4,0.811758,van,car,False
drive_022,5,1,0.890924,car,car,True
drive_033,1,1,0.980557,bus,van,False
drive_033,2,2,0.920699,van,bus,False
drive_033,4,9,0.893988,car,car,True
drive_033,7,4,0.773434,car,car,True
drive_033,8,3,0.880377,car,car,True
drive_033,9,7,0.858615,car,car,True
drive_033,10,8,0.876128,car,car,True
drive_033,11,12,0.893783,bus,van,False
drive_033,15,5,0.8814,car,car,True
drive_033,16,6,0.754541,car,car,True
drive_033,21,11,0.837607,car,car,True
drive_038,1,10,0.797604,car,car,True
drive_038,2,9,0.906517,truck,bus,False
drive_038,3,15,0.832066,van,truck,False
drive_038,4,6,0.824872,car,car,True
drive_038,5,12,0.690664,car,car,True
drive_038,6,14,0.9188,car,car,True
drive_038,7,13,0.888213,car,car,True
drive_038,8,16,0.80876,car,car,True
drive_038,9,17,0.844206,car,car,True
drive_038,22,2,0.915368,car,car,True
drive_038,23,3,0.959504,car,car,True
drive_038,24,4,0.922894,car,car,True
drive_038,25,1,0.877313,car,car,True
drive_038,28,8,0.85236,car,car,True
drive_038,29,11,0.875339,car,car,True
drive_038,30,7,0.826673,car,car,True
drive_008,1,11,0.942297,car,car,True
drive_008,2,12,0.798628,van,truck,False
drive_008,3,2,0.903159,car,car,True
drive_008,4,3,0.941072,van,truck,False
drive_008,5,5,0.840714,van,truck,False
drive_008,10,14,0.859745,car,car,True
drive_008,11,13,0.769956,car,car,True
drive_008,12,7,0.886829,car,car,True
drive_008,14,1,0.832223,truck,bus,False
drive_008,17,9,0.978326,bus,van,False
drive_008,20,15,0.467469,car,car,True
drive_008,27,4,0.95145,car,car,True
drive_008,28,6,0.845972,car,car,True
drive_008,29,16,0.907814,car,car,True
